"intent","lang","training phrase"
"date.holiday.until","en","how many days until Christmas"
"date.holiday.until","en","days until Labour Day"
"date.holiday.until","en","number of days until Christmas"
"date.holiday","en","when is Thanksgiving this year"
"date.holiday","en","when was Christmas"
"date.holiday","en","what is the date of Labour Day in 2018"
"date.holiday","en","Columbus Day 2018"
"date.holiday","en","Halloween date"
"date.holiday","en","what is the date of Columbus day in 2015"
"date.holiday","en","Independence Day 2013 date"
"date.holiday","en","I wonder when is Saint Patrick's day"
"date.holiday","en","when is Valentine's Day"
"date.month.check","en","check if it's April"
"date.month.check","en","do you know if it's March now"
"date.month.check","en","is it May"
"date.month.check","en","February is coming isn't it"
"date.month.check","en","could you tell if it's May now"
"date.month.check","en","is it August already"
"date.month.check","en","tell me if it's July"
"date.month.check","en","is it still June"
"date.month.check","en","today is February"
"date.month.check","en","it's December right"
"date.month.get","en","tell me what is the month right now"
"date.month.get","en","what's the current month"
"date.month.get","en","what month is it now"
"date.month.get","en","current month please"
"date.month.get","en","I'd like to know what month is it now"
"date.month.get","en","could you tell me what month is it now"
"date.month.get","en","what month is it"
"date.month.get","en","do you know the current month"
"date.month.get","en","what month is it today"
"date.month.get","en","tell me the current month"
"date.set","en","I want to set the date"
"date.set","en","today is October 20 Wednesday"
"date.set","en","I'd like to edit the date"
"date.set","en","it's Friday"
"date.set","en","change today's date to 31 December"
"date.set","en","set date"
"date.set","en","could you set today's date to January 7th"
"date.set","en","today is May 4th"
"date.set","en","set the date June 5th"
"date.set","en","can I set another date"
"date.set","en","can I change the date"
"date.since","en","check how many seconds it's been since yesterday"
"date.since","en","how many days since September 7"
"date.since","en","tell me how many hours have passed since June 11th"
"date.since","en","calculate how many weeks it's been since last Friday"
"date.since","en","how many months have passed since April 1st 2014"
"date.until","en","calculate number of days before July 22"
"date.until","en","how long until November 13"
"date.until","en","tell me how many weeks do we have before April 11th"
"date.until","en","how many hours until tomorrow"
"date.until","en","how many days until Friday"
"date.until","en","check how many weeks till September 5th"
"date.until","en","days until January 1st"
"date.year.check","en","it's 2019 isn't it"
"date.year.check","en","is it year 2017"
"date.year.check","en","now it's 1989 year right"
"date.year.check","en","tell me if it's year 2018"
"date.year.check","en","is nowadays 1990 year"
"date.year.check","en","check if it's year 2016"
"date.year.check","en","is it 2015"
"date.year.get","en","I want to know the current year"
"date.year.get","en","current year"
"date.year.get","en","tell me the current year"
"date.year.get","en","what year is it"
"date.year.get","en","what is the current year"
"date.year.get","en","I wonder which year are we in"
"date.year.get","en","year now"
"date.year.get","en","what year is it today"
"document","en","can you provide me the list of required documents of last year admission in B.Tech degree?"
"document","en","What are the documents to be brought to the campus?"
"document","en","What documents should one bring to college for verification?"
"fees","en","What are the formats of income certificate and affidavit for tuition fee waiver at iit mandi?"
"fees","en","What are the formats of income certificate and affidavit for tuition fee waiver at iit mandi? I am a general student"
"fees","en","If through the fees submission portal on the official site, it is giving only 2016 students option and not for 2019 students option 
  How to proceed ?"
"fees","en","How the fees is to be paid ?"
"fees","en","How the fees is to be paid ?
 If through the fees submission portal on the official site, it is giving only 2016 students option and not for 2019 students option 
 How to proceed ?"
"fees","en","My family income is below 5 lakhs ,how much fees do I have to pay?"
"fees","en","My family income is 3-4 lakh and what I have to do for getting fee waiver in IIT MANDI ? Is there is any form I have to fill for the same?"
"fees","en","please guide me the details of dd for  fees payment. i have not done much bank work earlier so bit noob."
"fees","en","Seniors pls guide me regarding the payment of fees....i would prefer offline mode"
"fees","en","How to pay the hostel and mess fee ?"
"fees","en","Through which mode we have to pay fees?"
"fees","en","How does one have to pay The Fees?"
"fees","en","How does one have to pay The Fees? Through which mode?"
"fees","en","How much fees should I pay?"
"fees","en","How to pay the fees for admission?"
"hikking.trekking","en","is there any mountain climbing club?"
"hikking.trekking","en","how's hikking and trekking club?"
"hikking.trekking","en","tell me about H& T club?"
"hikking.trekking","en","how is the trekking club?"
"hikking.trekking","en","tell me about hikking club"
"holiday","en","when are the holidays?"
"holiday","en","do we have a semester break?"
"holiday","en","how long is the winter vacation?"
"holiday","en","how long is the summer vacation?"
"holiday","en","when do we have holidays?"
"hostel.carry","en","what all should one bring before coming to college?"
"hostel.carry","en","what stuff is required for freshers to buy before coming to college?"
"hostel.carry","en","what all things to bring to college?"
"hostel.carry","en","What should we carry before coming to college?"
"hostel.carry","en","What Should I carry with me to the hostel?"
"hostel.facilities","en","Facilities in hostels"
"hostel.facilities","en","Do we get a microwave?"
"hostel.facilities","en","What are the facilities available in the hostels?"
"hostel.life","en","Can you tell about hostel life?"
"hostel.life","en","How is the culture in college hostels?"
"hostel.life","en","How is hostel life in IIT Mandi?"
"hostel.rooms","en","How many people will stay in a hostel room?"
"hostel.rooms","en","can we get single room?"
"hostel.rooms","en","How many students stay in a Hostel Room?"
"hostel.rooms","en","How many students alloted in a room at hostel?"
"hostel.rooms","en","Can someone share a picture of hostel rooms?"
"hostel.rooms","en","Is there a washroom in each room?"
"hostel.rooms","en","How many students live in one room?"
"hostel.rooms","en","Do we get a single seater room in the first year?"
"induction.program","en","5WIP"
"induction.program","en","5 Week induction program"
"induction.program","en","What is the induction program before the start of the first semester? Would it be done online as our first semester is online?"
"induction.program","en","Will the norm of 5 week induction program be followed this year too?"
"induction.program","en","Can anyone bried about what will happen in induction programme??"
"induction.program","en","How orientation programme is different than Induction Programme?"
"induction.program","en","what is 5WIP?"
"induction.program","en","Tell me about induction program"
"induction.program","en","tell me about 5WIP?"
"induction.program","en","What is Induction Programme of IIT Mandi?"
"lab.research","en","which labs are there in college?"
"lab.research","en","What are the research facilities available in IIT Mandi?"
"lab.research","en","what labs are there in IIT Mandi?"
"lab.research","en","What are the Labs & research facilities at IIT Mandi"
"library","en","Are there ebooks in the library?"
"library","en","tell me about library?"
"library","en","is there a library in college?"
"library","en","How to issue books?"
"library","en","Do we need to bring books?"
"library","en","Will we be buying books or we can get them from the library?"
"placements","en","Can anyone give me the stats of placement?"
"placements","en","How is placements and packages offered in at IIT MANDI?"
"placements","en","How is placements and packages offered in at IIT MANDI?
 Can anyone give me the stats of placement?? Please!!"
"placements","en","Can someone please tell me the median placement of CSE ai IIT mandi,and not the average??"
"placements","en","How is the placement stats for cse and average package ?"
"placements","en","What's the placement scenario of iit mandi"
"placements","en","How is the placement scenario of IIT mandi CSE?"
"placements","en","what is the average package at IIT Mandi?"
"placements","en","what the future scopes are with respect to placement and stuff?"
"programming.compi","en","which language to use for coding?"
"programming.compi","en","Performance of IIT Mandi in codeforces and codechef?"
"programming.compi","en","How many candidate masters from IIT Mandi?"
"programming.compi","en","Past performance of IIT Mandi in ACM-ICPC?"
"programming.compi","en","compi"
"programming.compi","en","Tell me about competitive programming"
"programming.culture","en","What about coding culture in college?"
"programming.culture","en","Coding culture"
"programming.culture","en","How is programming culture?"
"programming.culture","en","How is the Coding Culture there for non-CSE student?"
"programming.culture","en","Is IIT mandi  good w.r.t coding culture?"
"programming.culture","en","Is coding culture of IIT Mandi better than IIT Ropar?"
"programming.culture","en","Is coding culture of IIT Mandi better than IIT Patna?"
"programming.culture","en","How is the coding culture at IIT Mandi?"
"programming.development","en","tell me about Google Summer of Code"
"programming.development","en","How is the open source culture in college?"
"programming.development","en","How many are selected in GSOC from IIT Mandi?"
"programming.development","en","How many selections in GSOC in the past year?"
"programming.laptop","en","Which processer is good to buy (intel/AMD) in laptop for heavy usage, good performance and battery?"
"programming.laptop","en","I want a laptop for coding purpose"
"programming.laptop","en","What are the required specifications of a laptop?"
"programming.laptop","en","Is laptop a requisite for first year?"
"programming.laptop","en","Which laptop to buy for cse student for work and casual gaming?"
"programming.laptop","en","Is there any specific specs that a laptop should have for cse students?"
"programming.laptop","en","Should I buy a macbook?"
"programming.laptop","en","I am from Computer Science ,which is the best laptop?"
"programming.laptop","en","Which laptop should I buy?"
"programming.os","en","which operating system do you recommend?"
"programming.os","en","which version of Linux do you recommend for partitioning on my windows laptop"
"programming.os","en","Which OS should I install?"
"programming.os","en","Windows or Ubuntu?"
"programming.os","en","How to install Ubuntu?"
"programming.os","en","How to install linux?"
"programming.os","en","Which version of ubuntu should I install?"
"ragging","en","how about ragging in campus?"
"ragging","en","is there ragging in college?"
"ragging","en","Is there Ragging? Does IIT Mandi have policies against it?"
"society.dance","en","How is UDC?"
"society.dance","en","i am interested to join the dance club"
"society.dance","en","how is the dance culture in IIT Mandi?"
"society.dance","en","Tell me about dancing club"
"society.dance","en","Tell me about UDC"
"society.dance","en","Tell me about dance club?"
"society.music","en","is there a singing club in college?"
"society.music","en","i am interested in singing"
"society.music","en","hows music club?"
"society.music","en","how is the music club in IIT Mandi?"
"society.music","en","tell me about music club"
"sports","en","What are the sports facilities available ?"
"sports","en","how are sports facilities?"
"sports","en","What is the depth and size of swimming pool??"
"sports","en","Do I have to carry my own badminton racquet if I am interested in playing badminton?"
"sports","en","How is cricket in iit Mandi,do we play good in inter iits?"
"sports","en","Any team sports for girls at IIT Mandi?"
"sports","en","Which sports are played in IIT Mandi?"
"sports","en","What are the sports facilities available in IIT Mandi?"
"sports","en","Does IIT Mandi have a cricket ground?"
"sports","en","What are the various sports played in IIT Mandi?"
